iterations,average,min,max
1,41573.02,35970,47294
2,39088.51,33437,44313
3,37237.59,31512,41370
4,35840.98,30641,39347
5,34697.7,29709,38198
6,33597.55,29137,37445
7,32695.71,28914,36805
8,31843.23,27726,36805
9,31090.06,27726,34602
10,30574.78,27710,33694
11,29991.63,26900,33150
12,29527.1,25926,32802
13,29007.03,25915,32348
14,28533.13,25163,32212
15,28134.04,24570,32212
16,27755.29,23612,31343
17,27318,22509,31159
18,26878.75,22328,30633
19,26545.77,21557,30633
20,26233.42,21459,29569
21,25963.85,20322,28904
22,25605.75,19742,28873
23,25367.15,19742,28859
24,25099.01,19562,28821
25,24799.41,19284,27841
26,24555.51,19284,27757
27,24320.59,19203,27626
28,24061.99,19203,27158
29,23819.48,19012,27158
30,23571.73,18657,26646
31,23363.59,18657,26646
32,23159.37,18657,25992
33,22968.98,18657,25992
34,22777.02,18326,25751
35,22553.15,18326,25751
36,22367.17,18232,25234
37,22200.96,18232,25191
38,22043.42,18142,25191
39,21903.41,17952,25191
40,21744.2,17952,25191
41,21591.08,17952,25058
42,21473.52,17188,25058
43,21325.7,17179,25058
44,21208.77,17044,25058
45,21012.56,16994,25058
46,20862.33,16994,24782
47,20753.67,16684,24782
48,20646.18,16684,24782
49,20560.78,16684,24782
50,20427.23,16684,24782
51,20291.4,16684,24780
52,20162.29,16568,24237
53,20050.95,16568,24237
54,19907.74,16568,24237
55,19768.35,16499,24094
56,19654.87,16432,23999
57,19549,16242,23624
58,19456.26,15822,23250
59,19340.93,15822,23250
60,19236.82,15822,23250
61,19140.17,15742,23159
62,19052.06,15742,23159
63,18933.15,15742,23067
64,18860.22,15699,23067
65,18772.17,15422,22868
66,18661.66,14802,22868
67,18541.4,14778,22372
68,18463.49,14641,22372
69,18361.08,14641,22156
70,18258.24,14598,22156
71,18179.7,14598,22156
72,18108.46,14598,21826
73,18030.11,14536,21826
74,17960.26,14509,21703
75,17882.79,14509,21378
76,17812.67,14465,21378
77,17717.99,14358,21378
78,17664.62,14358,21378
79,17599.51,14270,21378
80,17535.67,14270,21161
81,17445.85,14270,21161
82,17383.13,13485,21161
83,17346.17,13485,21082
84,17283.45,13471,20556
85,17214.52,13471,20556
86,17154.7,13471,20353
87,17096.94,13203,19967
88,17039.92,13203,19967
89,16953.95,13174,19967
90,16921.76,13169,19850
91,16850.72,13111,19706
92,16795.56,13020,19706
93,16723.45,13020,19588
94,16657.43,12962,19390
95,16603.2,12890,19390
96,16556.64,12443,19390
97,16500.51,12438,19390
98,16437.07,12438,19390
99,16364.91,12409,19380
100,16310.47,12409,19210
101,16270.48,12332,19210
102,16218.95,12305,19210
103,16176.11,12101,19210
104,16122,12101,19175
105,16088.03,12101,19154
106,16049.23,12101,18887
107,16006.05,12044,18887
108,15944.26,11836,18887
109,15902.16,11836,18887
110,15862.92,11836,18887
111,15824.71,11763,18790
112,15767.93,11763,18420
113,15714.66,11763,18420
114,15667.74,11759,18397
115,15616.41,11759,18397
116,15560.63,11759,18397
117,15509.38,11758,18084
118,15468.14,11758,18084
119,15434.68,11630,18084
120,15392.1,11630,18084
121,15358.93,11630,18073
122,15320.89,11630,18073
123,15275.77,11618,18073
124,15227.58,11527,18010
125,15181.06,11527,18010
126,15138.26,11527,18010
127,15099,11519,18003
128,15057.77,11457,17960
129,15022.92,11457,17960
130,14982.28,11443,17656
131,14946.49,11443,17656
132,14917.05,11443,17656
133,14876.8,11429,17656
