iterations,average,min,max
1,2639.26,2582,2729
2,2620.36,2582,2706
3,2602.37,2576,2696
4,2594.71,2570,2660
5,2588.13,2570,2653
6,2583.48,2570,2612
7,2580.3,2570,2600
8,2579.16,2570,2598
9,2577.62,2570,2594
10,2576.24,2570,2594
11,2575.74,2570,2594
12,2574.3,2570,2592
13,2573.76,2570,2592
14,2573.34,2570,2592
15,2572.68,2570,2592
16,2572.14,2570,2592
17,2571.78,2570,2592
18,2571.54,2570,2592
19,2571.42,2570,2592
20,2571.3,2570,2592
21,2571.18,2570,2592
22,2570.96,2570,2582
23,2570.78,2570,2576
24,2570.66,2570,2576
25,2570.54,2570,2576
26,2570.48,2570,2576
27,2570.42,2570,2576
28,2570.42,2570,2576
29,2570.42,2570,2576
30,2570.42,2570,2576
