iterations,average,min,max
1,74740.52,64068,81718
2,71804.89,64068,78145
3,69346.54,62054,74946
4,67148.85,58893,73307
5,65285.89,55711,73066
6,63579.5,55711,68592
7,62053.56,54055,68592
8,60767.19,53048,67361
9,59508.13,50758,66857
10,58511.64,50276,65846
11,57454.41,50276,65846
12,56475.03,50276,65707
13,55683.47,50276,61177
14,54928.81,48217,60305
15,54253.17,48217,59739
16,53513.99,48142,59715
17,52833.61,47658,58726
18,52343.95,47038,57926
19,51709.26,45803,57432
20,51096.7,45435,57215
21,50628.37,45424,56790
22,50185.29,45226,55958
23,49827.17,44030,55552
24,49344.17,44030,54955
25,48829.22,44030,54313
26,48471.82,44030,54056
27,47977.25,41286,54056
28,47468.69,41286,53598
29,47158.79,41286,52963
30,46837.78,41286,52816
31,46449.2,39769,52816
32,46046.97,39632,52816
33,45673.5,39632,52816
34,45386.02,39632,52370
35,45065.77,39587,52370
36,44752.83,39587,50429
37,44395.84,39388,50429
38,44097.7,39388,49881
39,43866.85,39388,49881
40,43585.34,39244,48027
41,43306.59,38089,47790
42,42935.77,38089,47790
43,42724.63,37995,47427
44,42458.79,37983,47191
45,42256.48,37618,47191
46,41996.44,36992,47191
47,41739.67,36992,47191
48,41538.33,36971,47191
49,41323.08,36960,47191
50,41034.8,35627,47191
51,40871.46,35595,47191
52,40685.33,35485,47191
53,40509.9,35485,47191
54,40338.98,34715,47191
55,40160.41,34715,46628
56,40037.18,34649,46628
57,39831.07,34409,46254
58,39676.22,33721,45873
59,39487.02,33721,45873
60,39288.46,33721,45259
61,39090.85,33721,45259
62,38937.76,33572,44657
63,38773.77,33572,44600
64,38625.3,33140,44250
65,38464.05,33140,44250
66,38324.7,33140,44250
67,38151.38,33140,44250
68,38048.09,33140,44250
69,37915.18,33140,44250
70,37761.85,33066,44250
71,37654.49,32978,44250
72,37495.38,32541,44250
73,37350.65,32541,44250
74,37231.27,32541,43910
75,37090.83,32176,43910
76,37007.71,31836,43910
77,36799.37,31836,43069
78,36699.14,31836,43069
79,36565.62,31836,42889
80,36415.1,31836,42889
81,36286.82,31836,42889
82,36221.89,31836,42889
83,36092.71,31122,42119
84,36005.96,31090,42001
85,35899.09,31090,41882
86,35789.11,31090,41882
87,35715.9,31087,41882
88,35601.74,31087,41260
89,35461.81,31087,41253
90,35318.17,30796,40741
91,35200.72,30796,40410
92,35119.91,30788,40410
93,34974.8,30628,40386
94,34864.9,30628,40386
95,34777.28,30609,40386
96,34699.48,30609,39866
97,34571.56,30609,39866
98,34469.97,30609,39864
99,34377.36,30590,39864
100,34300.02,30295,39864
101,34204.32,30295,39013
102,34099.45,30294,39013
103,34015.15,30294,39013
104,33938.09,30294,39013
105,33870.9,29862,39013
106,33756.26,29815,39013
107,33687.61,29815,38671
108,33553.89,29815,38534
109,33459.25,29795,38511
110,33348.44,29767,38511
111,33279.38,29711,38511
112,33201.57,29706,38189
113,33086.41,29513,38189
114,32998.34,29513,37606
115,32934.01,29513,37606
116,32813.82,29457,37606
117,32689.98,29350,37230
118,32590.1,28958,37029
119,32531.55,28958,37016
120,32470.34,28958,37016
121,32401.7,28958,37016
122,32320.47,28958,36974
123,32263.16,28820,36974
124,32176.52,28820,36665
125,32072.61,28820,35850
126,32005.55,28820,35823
127,31942.42,28253,35272
128,31850.15,28253,35272
129,31787.17,28253,35272
130,31727.08,28253,35107
131,31647.2,28214,35107
132,31584.12,28214,35107
133,31507.86,28214,35107
134,31455.42,28214,35107
135,31396.44,27986,35107
136,31344.32,27986,35107
137,31293.51,27986,35107
138,31241.3,27686,35093
139,31160.94,27661,35063
140,31070.96,27551,34773
141,30978.85,27551,34359
142,30929.41,27282,34359
143,30857.34,27282,34359
