iterations,average,min,max
1,29302.94,24394,32917
2,27491.36,23401,31705
3,25760.99,21185,29275
4,24618.02,20879,28657
5,23773.65,19449,27370
6,23018.77,19449,26285
7,22264.16,19248,24946
8,21660.65,18561,24666
9,21210.17,17981,23906
10,20679.37,17671,23615
11,20264.07,17436,23442
12,19902.26,16629,22776
13,19512.54,16629,22776
14,19151.74,16317,21898
15,18791.3,16026,21796
16,18536.61,16026,21470
17,18178.94,15313,21016
18,17935.04,14949,21016
19,17677.55,14729,20295
20,17489.11,14675,20240
21,17286.33,14625,20049
22,17047.66,14483,19614
23,16843.41,14091,19228
24,16702.54,14051,19163
25,16540.56,13947,19163
26,16405.69,13836,19035
27,16273.96,13836,19035
28,16092.35,13836,18907
29,15973.72,13659,18907
30,15819.86,13659,18603
31,15712.61,13397,18603
32,15573.45,13368,18537
33,15475.99,13368,18313
34,15367.17,13368,18285
35,15284.39,13368,18022
36,15180.58,13368,17983
37,15081.9,13237,17864
38,14979.34,12934,17465
39,14922.39,12928,17465
40,14839.41,12886,17465
41,14738.82,12876,17457
42,14679.77,12876,17457
43,14635.38,12864,17457
44,14551.29,12864,16927
45,14456.55,12864,16692
46,14393.86,12601,16692
47,14317.21,12601,16619
48,14220.81,12601,16067
49,14157.13,12575,16067
50,14113.94,12575,16027
51,14070.61,12568,16027
52,14039.85,12568,15904
53,14004.84,12567,15904
54,13961.15,12567,15904
55,13912.17,12567,15904
56,13843.68,12512,15904
57,13807.18,12512,15904
58,13757.96,12503,15705
59,13709.1,12228,15705
60,13664.09,12214,15705
61,13616,12214,15609
62,13576.33,12214,15609
63,13528.94,12168,15573
64,13479.84,12168,15379
65,13453.38,12168,15351
66,13407.02,12168,15351
67,13380.62,12156,15321
68,13368.94,12156,15321
69,13314.68,11748,15166
70,13266,11748,15166
71,13236.82,11748,15166
72,13220,11725,15166
73,13187.17,11725,15166
74,13165.15,11725,14970
75,13133.66,11682,14941
76,13107.13,11682,14933
77,13081.93,11634,14926
78,13056.09,11634,14926
79,13038.62,11634,14872
80,13021.69,11394,14872
81,13002.05,11394,14560
82,12974.48,11394,14560
83,12958.02,11394,14560
84,12932.29,11357,14560
85,12895.26,11357,14542
86,12880.53,11357,14499
87,12869.22,11334,14499
88,12843.24,11334,14348
89,12825.9,11334,14348
90,12799.87,11333,14348
91,12777.95,11333,14230
92,12761.62,11333,14230
93,12743.34,11310,14230
94,12723.88,11310,14230
95,12703.28,11310,14230
96,12680.24,11310,14230
97,12657.07,11310,14230
98,12636.66,11310,14230
99,12619.55,11243,14230
100,12603.18,11243,14230
101,12586.57,11243,14163
102,12573.29,11243,14163
103,12559.67,11243,14163
104,12547.94,11200,14163
105,12539.88,11200,14163
106,12521.93,11200,14163
107,12507.01,11200,14163
108,12485.73,11200,14163
109,12462.49,11200,14163
110,12442.38,11200,14163
111,12431.3,11200,14163
112,12419.83,11200,14163
113,12412.81,11200,14163
114,12401.72,11200,14130
115,12380.94,11200,14130
116,12357.7,11159,14072
117,12338.61,11159,14063
118,12323.48,11159,13801
119,12311.99,11159,13801
120,12305.09,11159,13801
121,12297.89,11159,13801
122,12291.08,11159,13801
123,12285.09,11157,13801
124,12269.02,11139,13801
125,12256.83,11139,13735
126,12243.28,11139,13735
127,12235.14,11139,13735
128,12222.28,11139,13735
129,12212.53,11102,13735
130,12194.82,11102,13735
131,12190.15,11102,13735
132,12186.43,11102,13728
133,12174.86,11102,13728
134,12164.94,11102,13728
135,12157.56,11009,13728
136,12147.53,10961,13724
137,12140.19,10961,13710
138,12128.37,10961,13710
139,12119.98,10961,13635
140,12112.65,10955,13635
141,12109.73,10955,13635
142,12101.12,10955,13635
143,12092.4,10940,13386
144,12086.8,10940,13386
145,12074.92,10928,13386
146,12067.34,10928,13369
147,12059.1,10922,13369
148,12050.54,10922,13369
149,12047.37,10922,13369
150,12036.95,10922,13369
151,12031.42,10922,13369
152,12022.36,10922,13369
153,12009.14,10905,13369
154,12006.6,10905,13369
155,11996.57,10905,13369
156,11981.98,10783,13369
157,11975.7,10783,13369
158,11969.1,10783,13369
159,11961.74,10783,13369
160,11956.49,10783,13326
161,11950.58,10783,13326
162,11945.04,10783,13309
163,11940.9,10783,13309
164,11930.3,10783,13309
165,11922.75,10783,13309
166,11917.94,10783,13309
167,11909.15,10783,13309
168,11903.29,10723,13309
169,11899.34,10723,13309
170,11895.54,10723,13288
171,11888.16,10723,13266
172,11874.72,10723,13266
173,11871.13,10723,13237
174,11864.93,10723,13161
175,11858.46,10723,13129
176,11853.39,10723,13129
177,11850.13,10723,13129
178,11841.12,10723,13129
179,11835.83,10723,13129
180,11831.66,10723,13129
181,11821.48,10723,13129
182,11814.81,10705,13129
183,11804.25,10705,13129
184,11798.6,10705,13129
185,11793.47,10705,13129
186,11789.33,10705,13129
187,11785.64,10688,13129
188,11782.23,10688,13129
189,11775.88,10688,13129
190,11772.26,10688,13129
191,11766.13,10688,13129
192,11763.03,10688,13129
193,11759.81,10688,13097
194,11756.15,10688,13097
195,11754.66,10664,13097
196,11749.08,10664,13097
197,11742.46,10664,13089
198,11739.83,10646,13089
199,11732.04,10646,13089
200,11729.71,10646,13002
201,11725.58,10646,12995
202,11722.18,10646,12995
203,11715.13,10646,12995
204,11709.4,10640,12974
205,11705.19,10640,12974
206,11700.37,10640,12971
207,11692.91,10640,12971
208,11691.55,10640,12971
209,11688.41,10640,12971
210,11679.84,10640,12971
211,11672.12,10634,12971
212,11669.98,10634,12971
213,11668.86,10634,12971
214,11664.43,10628,12971
215,11659.25,10628,12971
216,11651.85,10622,12971
217,11647.5,10616,12971
218,11644.54,10616,12971
219,11640.13,10616,12971
220,11636.08,10616,12971
221,11629.59,10616,12971
222,11627.97,10616,12971
223,11623.41,10616,12856
224,11621.45,10616,12856
225,11619.22,10616,12779
226,11615.38,10613,12766
227,11607.58,10613,12766
228,11605.42,10613,12704
229,11601.67,10613,12704
230,11600.53,10613,12704
231,11595.74,10613,12704
232,11590.46,10613,12704
233,11588.94,10613,12704
234,11585.59,10587,12704
235,11584.07,10587,12704
236,11580.57,10587,12704
237,11576.98,10578,12704
238,11575.25,10578,12704
239,11570.95,10560,12704
240,11568.35,10539,12704
241,11567.05,10539,12704
242,11563.59,10539,12704
243,11562.31,10539,12704
244,11560.95,10539,12704
245,11559.12,10539,12704
246,11550.54,10533,12704
247,11545.19,10533,12704
248,11544.6,10533,12704
249,11539.39,10533,12704
250,11537.1,10533,12704
251,11535.14,10533,12704
252,11531.85,10533,12704
253,11520.27,10533,12704
254,11518.13,10533,12704
255,11515.17,10533,12704
256,11512.53,10533,12704
257,11508.73,10412,12704
258,11507.06,10412,12704
259,11501.07,10412,12704
260,11500.81,10412,12704
261,11498.01,10412,12704
262,11493.15,10412,12704
263,11490.15,10412,12704
264,11488.52,10403,12704
265,11484.83,10403,12704
266,11479.59,10365,12704
267,11476.72,10353,12650
268,11474.16,10353,12650
269,11471.4,10353,12650
270,11469.83,10347,12650
271,11466.48,10347,12650
272,11462.65,10347,12650
273,11458.83,10347,12650
274,11455.43,10347,12650
275,11453.73,10341,12650
276,11452.22,10335,12650
277,11450.04,10335,12650
278,11441.74,10332,12650
279,11439.45,10332,12650
280,11436.07,10332,12650
281,11434.5,10332,12650
282,11433.11,10332,12647
283,11432.27,10320,12647
284,11430.27,10320,12647
285,11428.29,10320,12647
286,11426.59,10320,12647
287,11424.32,10320,12647
288,11420.67,10320,12647
289,11419.44,10320,12647
290,11413.35,10320,12647
291,11404.71,10320,12647
292,11402.36,10320,12647
293,11400.91,10320,12647
294,11396.73,10320,12647
295,11392.06,10308,12647
296,11389.52,10308,12556
297,11388.24,10308,12556
298,11384.58,10308,12556
299,11378.14,10202,12462
300,11373.94,10202,12462
301,11372.6,10202,12444
302,11370.58,10193,12444
303,11368.02,10193,12444
304,11365.53,10193,12444
305,11362.2,10193,12444
306,11359.22,10193,12444
307,11356.69,10193,12444
308,11355.93,10193,12444
309,11353.03,10193,12444
310,11350.5,10193,12432
311,11349.59,10193,12432
312,11346.18,10193,12420
313,11341.35,10190,12420
314,11335.09,10190,12405
315,11333.21,10190,12405
316,11324.83,10190,12405
317,11322.88,10190,12396
318,11319.16,10190,12396
319,11315.42,10190,12396
320,11314.59,10190,12396
321,11313.93,10190,12396
322,11308.8,10190,12396
323,11306.01,10190,12396
324,11302.21,10190,12396
325,11296.89,10190,12290
326,11295.66,10190,12290
327,11291.17,10190,12290
328,11290.64,10190,12284
329,11289.79,10178,12284
330,11288.23,10169,12284
331,11287.06,10169,12284
332,11282.65,10169,12278
333,11281.31,10169,12278
334,11279.78,10169,12278
335,11278.59,10169,12278
336,11275.89,10169,12278
337,11274.08,10169,12278
338,11271.49,10169,12272
339,11270.64,10169,12272
340,11269.98,10169,12272
341,11269.41,10169,12272
342,11264.96,10169,12260
343,11263.94,10166,12260
344,11262.98,10166,12260
345,11261.07,10166,12260
346,11259.16,10166,12254
347,11255.48,10166,12254
348,11254.84,10166,12254
349,11253.44,10166,12254
350,11252.81,10166,12254
351,11252.11,10166,12254
352,11248.54,10166,12254
353,11247.16,10166,12254
354,11246.18,10166,12254
355,11245.91,10166,12254
356,11245.25,10166,12254
357,11242.67,10166,12254
358,11240.55,10166,12254
359,11239.67,10166,12254
360,11238.46,10166,12254
361,11237.69,10166,12254
362,11236.68,10166,12254
363,11235.72,10166,12254
364,11234.7,10166,12254
365,11233.68,10166,12254
366,11232.61,10166,12254
367,11231.06,10166,12254
368,11230.72,10166,12254
369,11229.64,10166,12254
370,11226.24,10166,12155
371,11224.54,10166,12155
372,11223.94,10166,12155
373,11218.28,10166,12155
374,11216.77,10166,12155
