iterations,average,min,max
1,16260.5,14526,17443
2,15764.16,14352,16773
3,15460.37,14024,16219
4,15191.39,14024,16156
5,14941.15,14024,15775
6,14724.59,13627,15730
7,14539.02,13627,15574
8,14401.9,13477,15574
9,14285.84,13255,15192
10,14185.92,13255,15064
11,14092.15,13153,15064
12,13978.25,13153,15008
13,13901.42,13147,14950
14,13835.6,13147,14932
15,13776.54,13129,14454
16,13737.16,13129,14454
17,13687.01,13105,14400
18,13650.72,13105,14400
19,13607.42,13105,14400
20,13558.78,13105,14400
21,13518.67,13058,14400
22,13498.43,13045,14323
23,13469.69,13045,14323
24,13451.38,13039,14323
25,13422.58,13039,14228
26,13409.29,13039,14228
27,13393.77,13039,14228
28,13376.77,13039,14228
29,13356.54,12973,14228
30,13338.88,12973,14228
31,13326.53,12973,14161
32,13310.89,12968,14113
33,13303.38,12968,14113
34,13286.65,12967,13999
35,13271.06,12967,13999
36,13261.31,12949,13999
37,13248.55,12949,13862
38,13235.3,12949,13699
39,13229.49,12949,13699
40,13224.8,12943,13693
41,13220.01,12943,13693
42,13212.32,12943,13690
43,13206.15,12943,13690
44,13199.39,12943,13690
45,13193.96,12937,13690
46,13189.22,12937,13690
47,13181.83,12931,13690
48,13174.02,12931,13669
49,13168.38,12931,13669
50,13167.08,12931,13669
51,13161.35,12931,13669
52,13156.49,12931,13609
53,13150.59,12931,13525
54,13146.4,12931,13525
55,13141.3,12931,13525
56,13136.01,12931,13411
57,13133.31,12931,13399
58,13127.3,12931,13399
59,13125.58,12931,13399
60,13124.65,12931,13399
61,13120.15,12931,13399
62,13119.01,12931,13399
63,13115.69,12931,13399
64,13112.53,12931,13399
65,13108.03,12931,13399
66,13105.25,12931,13399
67,13102.44,12931,13399
68,13098.24,12931,13399
69,13095.09,12931,13399
70,13094.17,12931,13399
71,13091.91,12931,13381
72,13089.29,12931,13381
73,13088.76,12931,13381
74,13085.72,12931,13381
75,13083.03,12931,13381
76,13082.66,12931,13381
77,13081.88,12931,13381
78,13081.15,12931,13381
79,13080.74,12931,13381
80,13079.74,12931,13381
81,13077.57,12931,13381
82,13074.36,12931,13381
83,13071.59,12931,13369
84,13070.16,12931,13369
85,13069.29,12931,13369
86,13067.31,12931,13369
87,13065.08,12931,13279
88,13063.1,12931,13279
89,13062.62,12931,13279
90,13061.34,12931,13279
91,13061.15,12931,13279
92,13059.4,12931,13279
93,13058.41,12931,13279
94,13057.69,12931,13279
95,13056.44,12931,13279
96,13056.25,12931,13279
97,13052.59,12931,13279
98,13051.99,12931,13279
99,13050.85,12931,13279
100,13049.92,12931,13279
101,13047.54,12931,13279
102,13047.13,12931,13279
103,13046.41,12931,13279
104,13045.81,12931,13279
105,13045.11,12931,13279
106,13044.31,12931,13279
107,13039.92,12931,13279
108,13039.2,12931,13279
109,13035.73,12931,13279
110,13033.56,12931,13279
111,13033.32,12931,13279
112,13033.16,12931,13279
113,13030.95,12931,13279
114,13028.91,12931,13279
115,13027.04,12931,13279
116,13026.45,12931,13279
117,13025.86,12931,13279
118,13025.55,12931,13279
119,13024.1,12931,13279
120,13023.98,12931,13279
121,13023.8,12931,13279
122,13023.62,12931,13279
123,13023.44,12931,13279
124,13023.22,12931,13279
125,13020.87,12931,13279
126,13020.21,12931,13279
127,13020.03,12931,13279
128,13018.56,12931,13279
129,13018.5,12931,13279
130,13018.44,12931,13279
131,13017.19,12931,13279
132,13017.07,12931,13279
133,13016.17,12931,13279
134,13013.48,12931,13279
135,13013.41,12931,13279
136,13013.16,12931,13279
137,13012.98,12931,13279
138,13012.87,12931,13279
139,13012.56,12931,13279
140,13012.21,12931,13279
141,13012.2,12931,13279
142,13011.96,12931,13279
143,13010.53,12931,13207
144,13010.47,12931,13207
145,13009.34,12931,13207
146,13009.28,12931,13207
147,13008.99,12931,13207
148,13008.87,12931,13207
149,13008.69,12931,13207
150,13008.57,12931,13207
